date,exchange_rate
2011-01-30,0.46
2011-02-02,0.48
2011-02-05,0.5
2011-02-08,0.52
2011-02-11,0.54
2011-02-14,0.56
2011-02-17,0.58
2011-02-20,0.6
2011-02-23,0.62
2011-02-26,0.64
2011-03-01,0.66
2011-03-04,0.68
2011-03-07,0.7
2011-03-10,0.72
2011-03-13,0.74
2011-03-16,0.76
2011-03-19,0.78
2011-03-22,0.8
2011-03-25,0.82
2011-03-28,0.84
2011-03-31,0.86
2011-04-03,0.88
2011-04-06,0.9
2011-04-09,0.92
2011-04-12,0.94
2011-04-15,0.96
2011-04-18,0.98
2011-04-21,1
2011-04-24,1.02
2011-04-27,1.04
2011-04-30,1.06
2011-05-03,1.08
2011-05-06,1.1
2011-05-09,1.12
2011-05-12,1.14
2011-05-15,1.16
2011-05-18,1.18
2011-05-21,1.2
2011-05-24,1.22
2011-05-27,1.24
2011-05-30,1.26
2011-06-02,1.28
2011-06-05,1.3
2011-06-08,1.32
2011-06-11,1.34
2011-06-14,1.36
2011-06-17,1.38
2011-06-20,1.4
2011-06-23,1.42
2011-06-26,1.44
2011-06-29,1.46
2011-07-02,1.48
2011-07-05,1.5
2011-07-08,1.52
2011-07-11,1.54
2011-07-14,1.56
2011-07-17,1.58
2011-07-20,1.6
2011-07-23,1.62
2011-07-26,1.64
2011-07-29,1.66
2011-08-01,1.68
2011-08-04,1.7
2011-08-07,1.72
2011-08-10,1.74
2011-08-13,1.76
2011-08-16,1.78
2011-08-19,1.8
2011-08-22,1.82
2011-08-25,1.84
2011-08-28,1.86
2011-08-31,1.88
2011-09-03,1.9
2011-09-06,1.92
2011-09-09,1.94
2011-09-12,1.96
2011-09-15,1.98
2011-09-18,2
2011-09-21,2.02
2011-09-24,2.04
2011-09-27,2.06
2011-09-30,2.08
2011-10-03,2.1
2011-10-06,2.12
2011-10-09,2.14
2011-10-12,2.16
2011-10-15,2.18
2011-10-18,2.2
2011-10-21,2.22
2011-10-24,2.24
2011-10-27,2.26
2011-10-30,2.28
2011-11-02,2.3
2011-11-05,2.32
2011-11-08,2.34
2011-11-11,2.36
2011-11-14,2.38
2011-11-17,2.4
2011-11-20,2.42
2011-11-23,2.44
2011-11-26,2.46
2011-11-29,2.48
2011-12-02,2.5
2011-12-05,2.52
2011-12-08,2.54
2011-12-11,2.56
2011-12-14,2.58
2011-12-17,2.6
2011-12-20,2.62
2011-12-23,2.64
2011-12-26,2.66
2011-12-29,2.68
2012-01-01,2.7
2012-01-04,2.72
2012-01-07,2.74
2012-01-10,2.76
2012-01-13,2.78
2012-01-16,2.8
2012-01-19,2.82
2012-01-22,2.84
2012-01-25,2.86
2012-01-28,2.88
2012-01-31,2.9
2012-02-03,2.92
2012-02-06,2.94
2012-02-09,2.96
2012-02-12,2.98
2012-02-15,3
2012-02-18,3.02
2012-02-21,3.04
2012-02-24,3.06
2012-02-27,3.08
2012-03-01,3.1
2012-03-04,3.12
2012-03-07,3.14
2012-03-10,3.16
2012-03-13,3.18
2012-03-16,3.2
2012-03-19,3.22
2012-03-22,3.24
2012-03-25,3.26
2012-03-28,3.28
2012-03-31,3.3
2012-04-03,3.32
2012-04-06,3.34
2012-04-09,3.36
2012-04-12,3.38
2012-04-15,3.4
2012-04-18,3.42
2012-04-21,3.44
2012-04-24,3.46
2012-04-27,3.48
2012-04-30,3.5
2012-05-03,3.52
2012-05-06,3.54
2012-05-09,3.56
2012-05-12,3.58
2012-05-15,3.6
2012-05-18,3.62
2012-05-21,3.64
2012-05-24,3.66
2012-05-27,3.68
2012-05-30,3.7
2012-06-02,3.72
2012-06-05,3.74
2012-06-08,3.76
2012-06-11,3.78
2012-06-14,3.8
2012-06-17,3.82
2012-06-20,3.84
2012-06-23,3.86
2012-06-26,3.88
2012-06-29,3.9
2012-07-02,3.92
2012-07-05,3.94
2012-07-08,3.96
2012-07-11,3.98
2012-07-14,4
2012-07-17,4.02
2012-07-20,4.04
2012-07-23,4.06
2012-07-26,4.08
2012-07-29,4.1
2012-08-01,4.12
2012-08-04,4.14
2012-08-07,4.16
2012-08-10,4.18
2012-08-13,4.2
2012-08-16,4.22
2012-08-19,4.24
2012-08-22,4.26
2012-08-25,4.28
2012-08-28,4.3
2012-08-31,4.32
2012-09-03,4.34
2012-09-06,4.36
2012-09-09,4.38
2012-09-12,4.4
2012-09-15,4.42
2012-09-18,4.44
2012-09-21,4.46
2012-09-24,4.48
2012-09-27,4.5
2012-09-30,4.52
2012-10-03,4.54
2012-10-06,4.56
2012-10-09,4.58
2012-10-12,4.6
2012-10-15,4.62
2012-10-18,4.64
2012-10-21,4.66
2012-10-24,4.68
2012-10-27,4.7
2012-10-30,4.72
2012-11-02,4.74
2012-11-05,4.76
2012-11-08,4.78
2012-11-11,4.8
2012-11-14,4.82
2012-11-17,4.84
2012-11-20,4.86
2012-11-23,4.88
2012-11-26,4.9
2012-11-29,4.92
2012-12-02,4.94
2012-12-05,4.96
2012-12-08,4.98
2012-12-11,5
2012-12-14,5.02
2012-12-17,5.04
2012-12-20,5.06
2012-12-23,5.08
2012-12-26,5.1
2012-12-29,5.12
2013-01-01,5.14
2013-01-04,5.16
2013-01-07,5.18
2013-01-10,5.2
2013-01-13,5.22
2013-01-16,5.24
2013-01-19,5.26
2013-01-22,5.28
2013-01-25,5.3
2013-01-28,5.32
2013-01-31,5.34
2013-02-03,5.36
2013-02-06,5.38
2013-02-09,5.4
2013-02-12,5.42
2013-02-15,5.44
2013-02-18,5.46
2013-02-21,5.48
2013-02-24,5.5
2013-02-27,5.52
2013-03-01,5.54
2013-03-04,5.56
2013-03-07,5.58
2013-03-10,5.6
2013-03-13,5.62
2013-03-16,5.64
2013-03-19,5.66
2013-03-22,5.68
2013-03-25,5.7
2013-03-28,5.72
2013-03-31,5.74
2013-04-03,5.76
2013-04-06,5.78
2013-04-09,5.8
2013-04-12,5.82
2013-04-15,5.84
2013-04-18,5.86
2013-04-21,5.88
2013-04-24,5.9
2013-04-27,5.92
2013-04-30,5.94
2013-05-03,5.96
2013-05-06,5.98
2013-05-09,6
2013-05-12,6.02
2013-05-15,6.04
2013-05-18,6.06
2013-05-21,6.08
2013-05-24,6.1
2013-05-27,6.12
2013-05-30,6.14
2013-06-02,6.16
2013-06-05,6.18
2013-06-08,6.2
2013-06-11,6.22
2013-06-14,6.24
2013-06-17,6.26
2013-06-20,6.28
2013-06-23,6.3
2013-06-26,6.32
2013-06-29,6.34
2013-07-02,6.36
2013-07-05,6.38
2013-07-08,6.4
2013-07-11,6.42
2013-07-14,6.44
2013-07-17,6.46
2013-07-20,6.48
2013-07-23,6.5
2013-07-26,6.52
2013-07-29,6.54
2013-08-01,6.56
2013-08-04,6.58
2013-08-07,6.6
2013-08-10,6.62
2013-08-13,6.64
2013-08-16,6.66
2013-08-19,6.68
2013-08-22,6.7
2013-08-25,6.72
2013-08-28,6.74
2013-08-31,6.76
2013-09-03,6.78
2013-09-06,6.8
2013-09-09,6.82
2013-09-12,6.84
2013-09-15,6.86
2013-09-18,6.88
2013-09-21,6.9
2013-09-24,6.92
2013-09-27,6.94
2013-09-30,6.96
2013-10-03,6.98
2013-10-06,7
2013-10-09,7.02
2013-10-12,7.04
2013-10-15,7.06
2013-10-18,7.08
2013-10-21,7.1
2013-10-24,7.12
2013-10-27,7.14
2013-10-30,7.16
2013-11-02,7.18
2013-11-05,7.2
2013-11-08,7.22
2013-11-11,7.24
2013-11-14,7.26
2013-11-17,7.28
2013-11-20,7.3
2013-11-23,7.32
2013-11-26,7.34
2013-11-29,7.36
2013-12-02,7.38
2013-12-05,7.4
2013-12-08,7.42
2013-12-11,7.44
2013-12-14,7.46
2013-12-17,7.48
2013-12-20,7.5
2013-12-23,7.52
2013-12-26,7.54
2013-12-29,7.56
2014-01-01,7.58
2014-01-04,7.6
2014-01-07,7.62
2014-01-10,7.64
2014-01-13,7.66
2014-01-16,7.68
2014-01-19,7.7
2014-01-22,7.72
2014-01-25,7.74
2014-01-28,7.76
2014-01-31,7.78
2014-02-03,7.8
2014-02-06,7.82
2014-02-09,7.84
2014-02-12,7.86
2014-02-15,7.88
2014-02-18,7.9
2014-02-21,7.92
2014-02-24,7.94
2014-02-27,7.96
2014-03-01,7.98
2014-03-04,8
2014-03-07,8.02
2014-03-10,8.04
2014-03-13,8.06
2014-03-16,8.08
2014-03-19,8.1
2014-03-22,8.12
2014-03-25,8.14
2014-03-28,8.16
2014-03-31,8.18
2014-04-03,8.2
2014-04-06,8.22
2014-04-09,8.24
2014-04-12,8.26
2014-04-15,8.28
2014-04-18,8.3
2014-04-21,8.32
2014-04-24,8.34
2014-04-27,8.36
2014-04-30,8.38
2014-05-03,8.4
2014-05-06,8.42
2014-05-09,8.44
2014-05-12,8.46
2014-05-15,8.48
2014-05-18,8.5
2014-05-21,8.52
2014-05-24,8.54
2014-05-27,8.56
2014-05-30,8.58
2014-06-02,8.6
2014-06-05,8.62
2014-06-08,8.64
2014-06-11,8.66
2014-06-14,8.68
2014-06-17,8.7
2014-06-20,8.72
2014-06-23,8.74
2014-06-26,8.76
2014-06-29,8.78
2014-07-02,8.8
2014-07-05,8.82
2014-07-08,8.84
2014-07-11,8.86
2014-07-14,8.88
2014-07-17,8.9
2014-07-20,8.92
2014-07-23,8.94
2014-07-26,8.96
2014-07-29,8.98
2014-08-01,9
2014-08-04,9.02
2014-08-07,9.04
2014-08-10,9.06
2014-08-13,9.08
2014-08-16,9.1
2014-08-19,9.12
2014-08-22,9.14
2014-08-25,9.16
2014-08-28,9.18
2014-08-31,9.2
2014-09-03,9.22
2014-09-06,9.24
2014-09-09,9.26
2014-09-12,9.28
2014-09-15,9.3
2014-09-18,9.32
2014-09-21,9.34
2014-09-24,9.36
2014-09-27,9.38
2014-09-30,9.4
2014-10-03,9.42
2014-10-06,9.44
2014-10-09,9.46
2014-10-12,9.48
2014-10-15,9.5
2014-10-18,9.52
2014-10-21,9.54
2014-10-24,9.56
2014-10-27,9.58
2014-10-30,9.6
2014-11-02,9.62
2014-11-05,9.64
2014-11-08,9.66
2014-11-11,9.68
2014-11-14,9.7
2014-11-17,9.72
2014-11-20,9.74
2014-11-23,9.76
2014-11-26,9.78
2014-11-29,9.8
2014-12-02,9.82
2014-12-05,9.84
2014-12-08,9.86
2014-12-11,9.88
2014-12-14,9.9
2014-12-17,9.92
2014-12-20,9.94
2014-12-23,9.96
2014-12-26,9.98
2014-12-29,10
